holidaycalendar,holiday,description,creationname,creationdate,revisionname,revisiondate
Argus Europe WKD,2007-08-27 00:00:00,NG: No report or data,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2007-12-25 00:00:00,No reports or data,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2007-12-26 00:00:00,NG: No report or data,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2008-01-01 00:00:00,No reports or data,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2008-03-21 00:00:00,No reports or data,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2008-03-24 00:00:00,No reports or data,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2008-04-30 00:00:00,NG: No Dutch sparkspreads,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2008-05-01 00:00:00,NG: No German/Dutch sparkspreads,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2008-05-05 00:00:00,NG: No reports or data,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2008-05-12 00:00:00,NG: No German/Dutch sparkspreads,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2008-05-22 00:00:00,NG: No Dutch sparkspreads,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2008-05-26 00:00:00,NG: No reports or data,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2008-06-20 00:00:00,NG: No Dutch sparkspreads,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2008-08-25 00:00:00,NG: No reports or data,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2008-10-03 00:00:00,NG: No German sparkspread,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2008-12-24 00:00:00,NG: No German sparkspread,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2008-12-25 00:00:00,No reports or data,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2008-12-26 00:00:00,NG:No reports or data,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2008-12-31 00:00:00,NG:No German sparkspread,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2009-01-01 00:00:00,No reports or data,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2010-01-01 00:00:00,,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2010-01-06 00:00:00,,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2010-03-15 00:00:00,,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2010-04-02 00:00:00,,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
Argus Europe WKD,2010-04-05 00:00:00,,134 Weekend Defintion Fix,2019-05-04 13:25:36,,
ARGUS Holidays,2024-05-06 00:00:00,Early May Bank Holiday,Ismail Gyursel,2016-01-21 10:36:03,,
ARGUS Holidays,2024-05-27 00:00:00,Spring Bank Holiday,Ismail Gyursel,2016-01-21 10:36:03,,
ARGUS Holidays,2024-08-26 00:00:00,Summer Bank Holiday,Ismail Gyursel,2016-01-21 10:36:03,,
ARGUS Holidays,2024-12-25 00:00:00,Christmas Day,Ismail Gyursel,2016-01-21 10:36:03,,
ARGUS Holidays,2024-12-26 00:00:00,Boxing Day,Ismail Gyursel,2016-01-21 10:36:03,,
ARGUS Holidays,2025-01-01 00:00:00,New Year's Day,Ismail Gyursel,2016-01-21 10:36:03,,
ARGUS Holidays,2025-04-18 00:00:00,Good Friday,Ismail Gyursel,2016-01-21 10:36:03,,
ARGUS Holidays,2025-04-21 00:00:00,Easter Monday,Ismail Gyursel,2016-01-21 10:36:03,,
ARGUS Holidays,2025-05-05 00:00:00,Early May Bank Holiday,Ismail Gyursel,2016-01-21 10:36:03,,
ARGUS Holidays,2025-05-26 00:00:00,Spring Bank Holiday,Ismail Gyursel,2016-01-21 10:36:03,,
ARGUS Holidays,2025-08-25 00:00:00,Summer Bank Holiday,Ismail Gyursel,2016-01-21 10:36:03,,
ARGUS Holidays,2025-12-25 00:00:00,Christmas Day,Ismail Gyursel,2016-01-21 10:36:03,,
ARGUS Holidays,2025-12-26 00:00:00,Boxing Day,Ismail Gyursel,2016-01-21 10:36:03,,
Austria,2011-01-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2011-01-06 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2011-04-22 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2011-05-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2011-06-02 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2011-06-13 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2011-06-23 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2011-08-15 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2011-10-26 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2011-11-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2011-12-08 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2011-12-25 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2012-01-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2012-01-06 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2012-04-06 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2012-05-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2012-05-17 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2012-05-28 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2012-06-07 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2012-08-15 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2012-10-26 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2012-11-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2012-12-08 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2012-12-25 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2013-01-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2013-01-06 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2013-05-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2013-08-15 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2013-10-26 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2013-11-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2013-12-08 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2013-12-25 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2014-01-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2014-01-06 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2014-05-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2014-08-15 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2014-10-26 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2014-11-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2014-12-08 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2014-12-25 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2015-01-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2015-01-06 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2015-05-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2015-08-15 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2015-10-26 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2015-11-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2015-12-08 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2015-12-25 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2016-01-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2016-01-06 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
Austria,2016-05-01 00:00:00,Austria Public Holidays,Brian Bruce,2011-04-26 10:11:02,,
